2025-04-15 20:39:41,18.70 W
2025-04-15 20:39:46,26.15 W
2025-04-15 20:39:51,76.28 W
2025-04-15 20:39:56,99.85 W
2025-04-15 20:40:01,97.95 W
2025-04-15 20:40:06,100.34 W
2025-04-15 20:40:11,79.67 W
2025-04-15 20:40:16,14.39 W
2025-04-15 20:40:21,32.99 W
2025-04-15 20:40:26,17.63 W
2025-04-15 20:40:31,102.13 W
2025-04-15 20:40:36,103.36 W
2025-04-15 20:40:41,102.62 W
2025-04-15 20:40:46,104.75 W
2025-04-15 20:40:51,17.73 W
2025-04-15 20:40:56,34.08 W
2025-04-15 20:41:02,10.16 W
2025-04-15 20:41:07,101.46 W
2025-04-15 20:41:12,101.69 W
2025-04-15 20:41:17,101.43 W
2025-04-15 20:41:22,102.08 W
2025-04-15 20:41:27,10.63 W
2025-04-15 20:41:32,33.10 W
2025-04-15 20:41:37,10.76 W
2025-04-15 20:41:42,99.74 W
2025-04-15 20:41:47,101.61 W
2025-04-15 20:41:52,100.63 W
2025-04-15 20:41:57,101.01 W
2025-04-15 20:42:02,19.50 W
2025-04-15 20:42:07,45.23 W
2025-04-15 20:42:12,10.31 W
2025-04-15 20:42:17,101.00 W
2025-04-15 20:42:22,99.91 W
2025-04-15 20:42:27,101.55 W
2025-04-15 20:42:32,100.34 W
2025-04-15 20:42:37,24.09 W
2025-04-15 20:42:42,68.60 W
2025-04-15 20:42:47,18.93 W
2025-04-15 20:42:52,100.91 W
2025-04-15 20:42:58,99.67 W
2025-04-15 20:43:03,101.22 W
2025-04-15 20:43:08,100.17 W
2025-04-15 20:43:13,21.18 W
2025-04-15 20:43:18,84.82 W
2025-04-15 20:43:23,9.52 W
2025-04-15 20:43:28,100.44 W
2025-04-15 20:43:33,99.98 W
2025-04-15 20:43:38,101.20 W
2025-04-15 20:43:43,100.08 W
2025-04-15 20:43:48,25.42 W
2025-04-15 20:43:53,90.71 W
2025-04-15 20:43:58,11.30 W
2025-04-15 20:44:03,100.43 W
2025-04-15 20:44:08,100.07 W
2025-04-15 20:44:13,100.75 W
2025-04-15 20:44:18,101.11 W
2025-04-15 20:44:23,31.42 W
2025-04-15 20:44:28,52.77 W
2025-04-15 20:44:33,9.45 W
